doc_type,publisher,venue_name
Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
Conference,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
Journal,,Ars Combinatoria
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,Eurographics Association,International Conference on Virtual Reality
Conference,"Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
Conference,"Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
Conference,"Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
Conference,,International Conference on Computer Graphics Theory and Applications
Repository,,IACR Cryptology ePrint Archive
Conference,"Springer, London",International Symposium on Computer and Information Sciences
Conference,"Springer, London",International Symposium on Computer and Information Sciences
Conference,"Springer, London",International Symposium on Computer and Information Sciences
Conference,"Springer, London",International Symposium on Computer and Information Sciences
Conference,,Parallel and Distributed Processing Techniques and Applications
Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Conference,"Springer, Cham",International Conference on Computer Vision and Graphics
Conference,"Springer, Cham",International Conference on Computer Vision and Graphics
Conference,"Springer, Cham",International Conference on Computer Vision and Graphics
Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Conference,"Springer, Berlin, Heidelberg",International Conference on Computational Science
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,,Americas Conference on Information Systems
Conference,Morgan Kaufmann Publishers Inc.,International Joint Conference on Artificial Intelligence
Journal,,Electronic Notes in Theoretical Computer Science
Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Conference,,Conference of the International Speech Communication Association
Conference,,Conference of the International Speech Communication Association
Conference,,Conference of the International Speech Communication Association
Conference,,Conference of the International Speech Communication Association
Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
