title,publisher,venue_name
Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
Further Results on Independence in Direct-Product Graphs.,,Ars Combinatoria
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
"Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
"Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
"Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
