,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,SUM  Completed,Labs,Lab Size,nPublications,Other Journals,University,Career Duration,Degree Area,degree,Latitude,Longitude,UndergradStudentCount,ranking,students staff ratio,perc intl students,near_city,crime_index,safety_index
0,"MICHIYO YAMAMURA, KAZUMA NOGUCHI, YOSHIRO NAKANO, EMI SEGAWA, YUSUKE ZUSHI, KAZUKI TAKAOKA, HIROMITSU KISHIMOTO, TOMOKO HASHIMOTO-TAMAOKI, and MASAHIRO URADE",In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 938081",10.1371/journal.pone.0092189,2006,IAI,,1.0,1.0,,"Duplicated, and shifted GAPDH gel panel",1,4/27/2015,,1.0,,1,,0.0,50 2 0 0 ,PLOS ONE PLOS ONE PLOS Pathogens PLOS ONE PLOS Neglected Tropical Diseases PLOS Genetics PLOS ONE PLOS Biology PLOS ONE PLOS ONE PLOS Pathogens PLOS Neglected Tropical Diseases PLOS Medicine PLOS ONE PLOS Genetics PLOS ONE PLOS Computational Biology PLOS Genetics PLOS Biology PLOS Pathogens PLOS ONE PLOS Biology PLOS ONE PLOS Biology PLOS ONE PLOS Neglected Tropical Diseases  ,National Jewish Medical and Research Center,5,Department of Microbiology and Immunology,PhD Biochemistry,,,,,,,,25.77,45.14
1,"Dusanka S. Skundric, Weili Zhou, William W. Cruikshank, Rujuan Dai",Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,"Int. J. Cancer: 132, 2270ï¿½2282 (2013)",10.1016/j.cyto.2008.02.005,2005,,,,1.0,,"Duplicated microscopy images, and other panels taken from previous paper",1,11/14/2016,,1.0,,1,,,0  ,PLOS ONE  ,Harvard Medical School,12,Department of Genetics,,,,,,,,"Boston, MA, United States",29.9,26.15
2,"Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb",The distribution of interleukin-19 in healthy and neoplastic tissue,PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901,10.1016/j.cyto.2006.12.003,2011,,,,,,Multiple cases of duplicated blot strips,1,3/28/2017,,1.0,,1,,14.0,1 2 50 0 2 0 14 3 ,PLOS Genetics PLOS ONE PLOS Neglected Tropical Diseases PLOS ONE PLOS Neglected Tropical Diseases PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE ,University of Birmingham,5,Department of Microbiology and Molecular Genetics,,,-123.274723,,,,8%,"Nice, France",40.35,45.22
3,"Li Li, Ji-kun Du, Li-yi Zou, Tie Wu, Yong-woo Lee, and Yong-ho Kim",The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,"BioMed Research International, Volume 2014, Article ID 936978",10.1016/j.cyto.2007.01.002,2013,01January,,1.0,1.0,1,Overlapping microscopy images,1,,,1.0,1.0,1,,0.0,2 0 3 0 0 1 2 4 7 ,PLOS ONE  PLOS ONE PLOS ONE PLOS Genetics PLOS Medicine PLOS ONE PLOS ONE PLOS ONE ,National Institutes of Health,11,School of Medical Sciences,PhD,,,,118.0,,,,25.77,26.15
4,"Anusha M. Gopalakrishnan, and Nirbhay Kumar",Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1016/j.cyto.2007.04.003,2013,mBio,,,1.0,,duplicated microscopy panels,1,12/1/2016,,1.0,1.0,1,,,0 0 0 0 4 0 1 4  ,PLOS ONE PLOS ONE PLOS Pathogens PLOS Neglected Tropical Diseases PLOS ONE PLOS ONE PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS Neglected Tropical Diseases PLOS Medicine PLOS ONE PLOS Neglected Tropical Diseases  ,Medical College of Chinese People's Armed Police Forces,25,McArdle Laboratory for Cancer Research,,,,,,16.6,,,73.85,36.15
5,"Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia A_vila-Gonzï¿½lez, and Rossana Arroyoi",Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,Cytokine 56 (2011) 365ï¿½375,10.1128/IAI.71.2.948-955.2003,2013,,,1.0,1.0,,"Duplicated FACS panels, but different gating numbers",1,,,,1.0,1,,3.0,2 1 1 2 3 2 2 1 2 1 8 2 7 2 1 2 1 ,PLOS ONE PLOS Pathogens PLOS ONE PLOS Pathogens PLOS Pathogens PLOS ONE PLOS Genetics PLOS Pathogens PLOS ONE PLOS Pathogens   ,Queen's University Belfast,9,"Anesthesia Department, the Second Affiliated Hospital, School of Medicine",,,,,,,,"Chicago, IL, United States",46.87,
6,"Zhao Huang, Qiong Wen, Shu-Feng Zhou, Xue-Qing Yu",Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,"INTERNATIONAL JOURNAL OF ONCOLOGY 41: 611-620, 2012",10.1371/journal.pgen.1004480,2013,02February,,1.0,,1,"very similar negative microscopy images, very similar cell grouping in other image",1,10/16/2015,,1.0,,1,,,0 0 0 0  ,PLOS ONE  ,Wayne State University School of Medicine,10,Department of Microbiology,PhD,,,,,,3%,"Anchorage, AK, United States",65.57,54.23
7,"Feng Zhou, Qibing Lin, Lihong Zhu, Yulong Ren, Kunneng Zhou, Nitzan Shabek, Fuqing Wu, Haibin Mao, Wei Dong, Lu Gan, Weiwei Ma, He Gao, Jun Chen, Chao Yang, Dan Wang, Junjie Tan, Xin Zhang, Xiuping Guo, Jiulin Wang, Ling Jiang, Xi Liu, Weiqi Chen, Jinfang Chu, Cunyu Yan, Kotomi Ueno, Shinsaku Ito, Tadao Asami, Zhijun Cheng, Jie Wang, Cailin Lei, Huqu Zhai, Chuanyin Wu, Haiyang Wang, Ning Zheng, and Jianmin Wan",__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism,Cytokine 44 (2008) 221ï¿½228,10.1128/IAI.71.2.766ï¿½773.2003,2013,IAI,,,1.0,,Overlapping microscopy images,1,,,1.0,,1,"Key Laboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao, China",0.0,2 2 7 , PLOS ONE PLOS ONE  ,University Pathology Building,8,"Department of Molecular Biology and Microbiology, Graduate Program in Molecular Microbiology, Sackler School of Graduate Biomedical Science",,,,,,9.1,,"Guangzhou, China",46.87,35.93
8,"Nitai C. Hait, Jeremy Allegood, Michael Maceyka, Graham M. Strub, Kuzhuvelil B. Harikumar, Sandeep K. Singh, Cheng Luo, Ronen Marmorstein, Tomasz Kordula, Sheldon Milstien, Sarah Spiegel",Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains,Cytokine 33 (2006) 138e144,10.1016/j.cyto.2010.09.007,2014,04April,1.0,1.0,1.0,,two similar looking western blot strips,1,11/14/2016,1.0,1.0,,1,,14.0,3 3 2 2 1 26  ,PLOS ONE ,Blood Transfusion Centre of Slovenia,16,Department of Genetics,,40.91476,,,205.0,,,"Santiago, Chile",34.32,68.34
9,"Ying-Yi Chen, Fon-Chang Liu, Pei-Yu Chou, Yi-Chung Chien, Wun-Shaing Wayne Chang, Guang-Jhong Huang, Chieh-Hsi Wu, and Ming-Jyh Sheu",Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1002/ijc.27863,2003,IAI,,,,1,multiple duplicated microscopy images,1,,,,,1,,,1 2  1 0  5 3 ,PLOS ONE  ,University of Michigan School of Medicine,3,"Department of Orthopedic Surgery, Xinhua Hospital",,,,897.0,,,,"Osaka, Japan",32.86,69.82
10,"Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer","Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes","Int. J. Cancer: 132, 2258ï¿½2269 (2013)",10.1016/j.lungcan.2006.06.006,2012,,,,1.0,1,"Duplicated blot strips, two cases",1,,,,1.0,1,,,6 8 2 0 0 3 8 2 3  3 3 0 10 8 ,PLOS ONE PLOS ONE  PLOS ONE  PLOS ONE PLOS Neglected Tropical Diseases PLOS ONE ,University of Arizona,3,"Department of Cardiology, Zhongda Hospital",PhD,,,,,,,"Guangzhou, China",,26.15
11,"Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang",Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,Cytokine 60 (2012) 718ï¿½730,10.1038/34214,2014,IAI,,1.0,,,Rotated microscopy images,1,4/21/2016,,1.0,1.0,1,,,3 2 4 0 ,PLOS Pathogens PLOS ONE  PLOS Pathogens PLOS ONE PLOS ONE PLOS Genetics PLOS Pathogens PLOS ONE PLOS Pathogens  ,Sichuan University,10,"Rosalind and Morris Goodman Cancer Research Centre, Department of Oncology",PhD,,,,,,,"Guangzhou, China",31.8,59.65
12,"Corine Bertolotto, Fabienne Lesueur, Sandy Giuliano, Thomas Strub, Mahaut de Lichy, Karine Bille, Philippe Dessen, and many others",Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0086342,2013,,,,,,Duplicated blot panel,1,,,,,1,,,0 1 0 2 1 0   ,PLOS ONE PLOS ONE PLOS Neglected Tropical Diseases  ,Hacettepe University,6,Department of Neurology,,,,,,,,"Lyon, France",32.66,70.1
13,"Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia A_vila-Gonzï¿½lez, and Rossana Arroyoi",Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,"Breast Cancer Research 2012, 14:R85",10.1002/ijc.28001,2012,IAI,,,1.0,,duplicated microscopy panel,1,6/3/2014,,1.0,1.0,1,,29.0,11 1 0 10  ,PLOS Pathogens PLOS Pathogens PLOS ONE PLOS Pathogens PLOS Pathogens  PLOS ONE PLOS Pathogens PLOS ONE PLOS Pathogens PLOS Biology PLOS Pathogens PLOS Pathogens PLOS ONE   ,Medical School,9,"Department of Hematology and Oncology, The First Hospital",PhD,,,,,,20%,,46.87,26.15
