Country,Date,Label,Latitude,Longitude,Count,Type
South Sudan,2022-3-03,South Sudan,7.8699431,29.6667897,1,MentionType.PRIMARY
Venezuela,2022-3-03,Venezuela,8.0018709,-66.1109318,1,MentionType.PRIMARY
Kenya,2022-3-03,Kenya,1.4419683,38.4313975,1,MentionType.PRIMARY
سوريا,2022-3-03,سوريا,34.6401861,39.0494106,1,MentionType.PRIMARY
India,2022-3-03,India,22.3511148,78.6677428,1,MentionType.PRIMARY
Djibouti جيبوتي,2022-3-03,Djibouti جيبوتي,11.8145966,42.8453061,1,MentionType.PRIMARY
Slovensko,2022-3-03,Slovensko,48.7411522,19.4528646,1,MentionType.PRIMARY
Europe,2022-3-03,Europe,51.0,10.0,3,MentionType.PRIMARY
Canada,2022-3-03,Canada,61.0666922,-107.991707,2,MentionType.PRIMARY
Suomi / Finland,2022-3-03,Suomi / Finland,63.2467777,25.9209164,1,MentionType.PRIMARY
România,2022-3-03,România,45.9852129,24.6859225,4,MentionType.PRIMARY
Србија,2022-3-03,Србија,44.1534121,20.55144,2,MentionType.PRIMARY
Österreich,2022-3-03,Österreich,47.59397,14.12456,2,MentionType.PRIMARY
日本,2022-3-03,日本,36.5748441,139.2394179,2,MentionType.PRIMARY
Italia,2022-3-03,Italia,42.6384261,12.674297,3,MentionType.PRIMARY
France,2022-3-03,France,46.603354,1.8883335,4,MentionType.PRIMARY
Deutschland,2022-3-03,Deutschland,51.0834196,10.4234469,5,MentionType.PRIMARY
中国,2022-3-03,中国,35.000074,104.999927,3,MentionType.PRIMARY
Magyarország,2022-3-03,Magyarország,47.1817585,19.5060937,1,MentionType.PRIMARY
Ελλάς,2022-3-03,Ελλάς,38.9953683,21.9877132,2,MentionType.PRIMARY
België / Belgique / Belgien,2022-3-03,België / Belgique / Belgien,50.6402809,4.6667145,1,MentionType.PRIMARY
Nederland,2022-3-03,Nederland,52.15517,5.38721,2,MentionType.PRIMARY
Australia,2022-3-03,Australia,-24.7761086,134.755,1,MentionType.PRIMARY
United Kingdom,2022-3-03,United Kingdom,54.7023545,-3.2765753,5,MentionType.PRIMARY
Danmark,2022-3-03,Danmark,55.670249,10.3333283,1,MentionType.PRIMARY
Sverige,2022-3-03,Sverige,59.6749712,14.5208584,1,MentionType.PRIMARY
Россия,2022-3-03,Россия,64.6863136,97.7453061,8,MentionType.PRIMARY
Black Sea,2022-3-03,Black Sea,43.87280435,33.99381558677739,2,MentionType.PRIMARY
Schweiz/Suisse/Svizzera/Svizra,2022-3-03,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736,1,MentionType.PRIMARY
United States,2022-3-03,United States,39.7837304,-100.445882,12,MentionType.PRIMARY
Lietuva,2022-3-03,Lietuva,55.3500003,23.7499997,1,MentionType.PRIMARY
Беларусь,2022-3-03,Беларусь,53.4250605,27.6971358,2,MentionType.PRIMARY
Україна,2022-3-03,Україна,49.4871968,31.2718321,16,MentionType.PRIMARY
Ghana,2022-3-03,Ghana,8.0300284,-1.0800271,1,MentionType.PRIMARY
Cuba,2022-3-03,Cuba,23.0131338,-80.8328748,1,MentionType.PRIMARY
Česko,2022-3-03,Česko,49.8167003,15.4749544,1,MentionType.PRIMARY
Κύπρος - Kıbrıs,2022-3-03,Κύπρος - Kıbrıs,34.9823018,33.1451285,1,MentionType.PRIMARY
السعودية,2022-3-03,السعودية,25.6242618,42.3528328,4,MentionType.PRIMARY
Papua Niugini,2022-3-03,Papua Niugini,-5.6816069,144.2489081,1,MentionType.PRIMARY
Polska,2022-3-03,Polska,52.215933,19.134422,3,MentionType.PRIMARY
Sénégal,2022-3-03,Sénégal,14.4750607,-14.4529612,1,MentionType.PRIMARY
ශ්‍රී ලංකාව இலங்கை,2022-3-03,ශ්‍රී ලංකාව இலங்கை,7.5554942,80.7137847,1,MentionType.PRIMARY
Slovensko,2022-3-04,Slovensko,48.7411522,19.4528646,1,MentionType.PRIMARY
Moldova,2022-3-04,Moldova,47.2879608,28.5670941,1,MentionType.PRIMARY
Azərbaycan,2022-3-04,Azərbaycan,40.3936294,47.7872508,2,MentionType.PRIMARY
Panamá,2022-3-04,Panamá,8.559559,-81.1308434,1,MentionType.PRIMARY
Кыргызстан,2022-3-04,Кыргызстан,41.5089324,74.724091,1,MentionType.PRIMARY
Nederland,2022-3-04,Nederland,52.15517,5.38721,1,MentionType.PRIMARY
Bosna i Hercegovina / Босна и Херцеговина,2022-3-04,Bosna i Hercegovina / Босна и Херцеговина,44.3053476,17.5961467,1,MentionType.PRIMARY
ليبيا,2022-3-04,ليبيا,26.8234472,18.1236723,1,MentionType.PRIMARY
România,2022-3-04,România,45.9852129,24.6859225,2,MentionType.PRIMARY
Burkina Faso,2022-3-04,Burkina Faso,12.0753083,-1.6880314,1,MentionType.PRIMARY
조선민주주의인민공화국,2022-3-04,조선민주주의인민공화국,40.3736611,127.0870417,1,MentionType.PRIMARY
대한민국,2022-3-04,대한민국,36.638392,127.6961188,2,MentionType.PRIMARY
Северна Македонија,2022-3-04,Северна Македонија,41.6171214,21.7168387,1,MentionType.PRIMARY
中国,2022-3-04,中国,35.000074,104.999927,3,MentionType.PRIMARY
საქართველო,2022-3-04,საქართველო,41.6809707,44.0287382,1,MentionType.PRIMARY
Česko,2022-3-04,Česko,49.8167003,15.4749544,1,MentionType.PRIMARY
Österreich,2022-3-04,Österreich,47.59397,14.12456,2,MentionType.PRIMARY
Беларусь,2022-3-04,Беларусь,53.4250605,27.6971358,2,MentionType.PRIMARY
India,2022-3-04,India,22.3511148,78.6677428,1,MentionType.PRIMARY
ایران,2022-3-04,ایران,32.6475314,54.5643516,1,MentionType.PRIMARY
سوريا,2022-3-04,سوريا,34.6401861,39.0494106,2,MentionType.PRIMARY
España,2022-3-04,España,39.3260685,-4.8379791,1,MentionType.PRIMARY
ישראל,2022-3-04,ישראל,31.5313113,34.8667654,2,MentionType.PRIMARY
United Kingdom,2022-3-04,United Kingdom,54.7023545,-3.2765753,9,MentionType.PRIMARY
France,2022-3-04,France,46.603354,1.8883335,6,MentionType.PRIMARY
Deutschland,2022-3-04,Deutschland,51.0834196,10.4234469,8,MentionType.PRIMARY
North Sea,2022-3-04,North Sea,56.74123355,2.8911717166880475,1,MentionType.PRIMARY
Schweiz/Suisse/Svizzera/Svizra,2022-3-04,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736,1,MentionType.PRIMARY
Europe,2022-3-04,Europe,51.0,10.0,2,MentionType.PRIMARY
Polska,2022-3-04,Polska,52.215933,19.134422,3,MentionType.PRIMARY
Kenya,2022-3-04,Kenya,1.4419683,38.4313975,2,MentionType.PRIMARY
België / Belgique / Belgien,2022-3-04,België / Belgique / Belgien,50.6402809,4.6667145,2,MentionType.PRIMARY
Nigeria,2022-3-04,Nigeria,9.6000359,7.9999721,1,MentionType.PRIMARY
مصر,2022-3-04,مصر,26.2540493,29.2675469,1,MentionType.PRIMARY
Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,2022-3-04,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482,1,MentionType.PRIMARY
Türkiye,2022-3-04,Türkiye,38.9597594,34.9249653,2,MentionType.PRIMARY
Bénin,2022-3-04,Bénin,9.5293472,2.2584408,1,MentionType.PRIMARY
قطر,2022-3-04,قطر,25.3336984,51.2295295,1,MentionType.PRIMARY
Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر,2022-3-04,Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر,28.0000272,2.9999825,1,MentionType.PRIMARY
Россия,2022-3-04,Россия,64.6863136,97.7453061,9,MentionType.PRIMARY
Baltic Sea,2022-3-04,Baltic Sea,56.0,18.0,1,MentionType.PRIMARY
Danmark,2022-3-04,Danmark,55.670249,10.3333283,1,MentionType.PRIMARY
Eesti,2022-3-04,Eesti,58.7523778,25.3319078,2,MentionType.PRIMARY
Suomi / Finland,2022-3-04,Suomi / Finland,63.2467777,25.9209164,2,MentionType.PRIMARY
Ísland,2022-3-04,Ísland,64.9841821,-18.1059013,1,MentionType.PRIMARY
Latvija,2022-3-04,Latvija,56.8406494,24.7537645,2,MentionType.PRIMARY
Norge,2022-3-04,Norge,60.5000209,9.0999715,2,MentionType.PRIMARY
Sverige,2022-3-04,Sverige,59.6749712,14.5208584,1,MentionType.PRIMARY
Sea Of Azov,2022-3-04,Sea Of Azov,46.196729,36.73570655151333,1,MentionType.PRIMARY
日本,2022-3-04,日本,36.5748441,139.2394179,4,MentionType.PRIMARY
Colombia,2022-3-04,Colombia,4.099917,-72.9088133,1,MentionType.PRIMARY
Singapore,2022-3-04,Singapore,1.357107,103.8194992,2,MentionType.PRIMARY
Україна,2022-3-04,Україна,49.4871968,31.2718321,11,MentionType.PRIMARY
Brasil,2022-3-04,Brasil,-10.3333333,-53.2,2,MentionType.PRIMARY
Тоҷикистон,2022-3-04,Тоҷикистон,38.6281733,70.8156541,1,MentionType.PRIMARY
Magyarország,2022-3-04,Magyarország,47.1817585,19.5060937,4,MentionType.PRIMARY
Бългaрия,2022-3-04,Бългaрия,42.6073975,25.4856617,1,MentionType.PRIMARY
United States,2022-3-04,United States,39.7837304,-100.445882,25,MentionType.PRIMARY
Lietuva,2022-3-04,Lietuva,55.3500003,23.7499997,3,MentionType.PRIMARY
Portugal,2022-3-04,Portugal,40.0332629,-7.8896263,1,MentionType.PRIMARY
Kenya,2022-3-05,Kenya,1.4419683,38.4313975,1,MentionType.PRIMARY
South Africa,2022-3-05,South Africa,-28.8166236,24.991639,2,MentionType.PRIMARY
日本,2022-3-05,日本,36.5748441,139.2394179,1,MentionType.PRIMARY
Italia,2022-3-05,Italia,42.6384261,12.674297,5,MentionType.PRIMARY
Aegean Sea,2022-3-05,Aegean Sea,38.0580504,25.721561172355706,1,MentionType.PRIMARY
Ελλάς,2022-3-05,Ελλάς,38.9953683,21.9877132,1,MentionType.PRIMARY
الأردن,2022-3-05,الأردن,31.1667049,36.941628,1,MentionType.PRIMARY
Lietuva,2022-3-05,Lietuva,55.3500003,23.7499997,1,MentionType.PRIMARY
ישראל,2022-3-05,ישראל,31.5313113,34.8667654,3,MentionType.PRIMARY
Deutschland,2022-3-05,Deutschland,51.0834196,10.4234469,4,MentionType.PRIMARY
ایران,2022-3-05,ایران,32.6475314,54.5643516,2,MentionType.PRIMARY
Europe,2022-3-05,Europe,51.0,10.0,2,MentionType.PRIMARY
España,2022-3-05,España,39.3260685,-4.8379791,1,MentionType.PRIMARY
Schweiz/Suisse/Svizzera/Svizra,2022-3-05,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736,1,MentionType.PRIMARY
Türkiye,2022-3-05,Türkiye,38.9597594,34.9249653,3,MentionType.PRIMARY
Moldova,2022-3-05,Moldova,47.2879608,28.5670941,2,MentionType.PRIMARY
Česko,2022-3-05,Česko,49.8167003,15.4749544,2,MentionType.PRIMARY
Civitas Vaticana - Città del Vaticano,2022-3-05,Civitas Vaticana - Città del Vaticano,41.903411,12.4528527,1,MentionType.PRIMARY
România,2022-3-05,România,45.9852129,24.6859225,3,MentionType.PRIMARY
België / Belgique / Belgien,2022-3-05,België / Belgique / Belgien,50.6402809,4.6667145,2,MentionType.PRIMARY
Black Sea,2022-3-05,Black Sea,43.87280435,33.99381558677739,2,MentionType.PRIMARY
Liberia,2022-3-05,Liberia,5.7499721,-9.3658524,1,MentionType.PRIMARY
United Kingdom,2022-3-05,United Kingdom,54.7023545,-3.2765753,7,MentionType.PRIMARY
Россия,2022-3-05,Россия,64.6863136,97.7453061,12,MentionType.PRIMARY
سوريا,2022-3-05,سوريا,34.6401861,39.0494106,2,MentionType.PRIMARY
中国,2022-3-05,中国,35.000074,104.999927,4,MentionType.PRIMARY
France,2022-3-05,France,46.603354,1.8883335,4,MentionType.PRIMARY
Venezuela,2022-3-05,Venezuela,8.0018709,-66.1109318,2,MentionType.PRIMARY
Chile,2022-3-05,Chile,-31.7613365,-71.3187697,2,MentionType.PRIMARY
Беларусь,2022-3-05,Беларусь,53.4250605,27.6971358,3,MentionType.PRIMARY
Polska,2022-3-05,Polska,52.215933,19.134422,8,MentionType.PRIMARY
Canada,2022-3-05,Canada,61.0666922,-107.991707,1,MentionType.PRIMARY
Africa,2022-3-05,Africa,11.5024338,17.7578122,1,MentionType.PRIMARY
مصر,2022-3-05,مصر,26.2540493,29.2675469,2,MentionType.PRIMARY
اليمن,2022-3-05,اليمن,16.3471243,47.8915271,1,MentionType.PRIMARY
Nigeria,2022-3-05,Nigeria,9.6000359,7.9999721,1,MentionType.PRIMARY
Україна,2022-3-05,Україна,49.4871968,31.2718321,17,MentionType.PRIMARY
Honduras,2022-3-05,Honduras,15.2572432,-86.0755145,1,MentionType.PRIMARY
United States,2022-3-05,United States,39.7837304,-100.445882,14,MentionType.PRIMARY
臺灣,2022-3-05,臺灣,23.9739374,120.9820179,1,MentionType.PRIMARY
