ID,Date,Label,Latitude,Longitude,Count,Source
South Sudan,2022-3-03,South Sudan,None,None,1,cnn
Sakhalin Island,2022-3-04,Sakhalin Island,None,None,1,cnn
North,2022-3-04,North,None,None,1,cnn
Golfo Del Pevero,2022-3-05,Golfo Del Pevero,None,None,1,cnn
Aegean Sea,2022-3-05,Aegean Sea,None,None,1,cnn
North Aegean,2022-3-05,North Aegean,None,None,1,cnn
Stryzhen River,2022-3-02,Stryzhen River,None,None,1,cnn
Hauptbahnhof,2022-3-04,Hauptbahnhof,None,None,2,cnn
Minuteman Ill,2022-3-02,Minuteman Ill,None,None,1,cnn
Black Sea Fleet,2022-3-20,Black Sea Fleet,None,None,1,cnn
North Atlantic Treaty,2022-3-20,North Atlantic Treaty,None,None,1,cnn
North And South,2022-3-27,North And South,None,None,1,cnn
Capitol Hill,2022-3-27,Capitol Hill,None,None,1,cnn
Kamyanka,2022-3-29,Kamyanka,None,None,1,cnn
South,2022-3-04,South,None,None,2,cnn
Southern Military District,2022-3-17,Southern Military District,None,None,1,cnn
North-Atlantic,2022-3-19,North-Atlantic,None,None,1,cnn
Babyn Yar Holocaust Memorial Center,2022-3-26,Babyn Yar Holocaust Memorial Center,None,None,1,cnn
Gulf Coast,2022-3-07,Gulf Coast,None,None,1,cnn
Zhytomyr-Kyiv,2022-3-07,Zhytomyr-Kyiv,None,None,1,cnn
Getty Images,2022-3-07,Getty Images,None,None,1,cnn
Bay Area,2022-3-09,Bay Area,None,None,1,cnn
Tania,2022-3-09,Tania,None,None,1,cnn
Mediterranean,2022-3-31,Mediterranean,None,None,1,cnn
East Coast,2022-3-31,East Coast,None,None,1,cnn
Exclusion Zone,2022-3-31,Exclusion Zone,None,None,1,cnn
Lafayette Park,2022-3-30,Lafayette Park,None,None,1,cnn
Eastern Operational Zone,2022-3-30,Eastern Operational Zone,None,None,1,cnn
Sea Of Okhotsk,2022-3-01,Sea Of Okhotsk,None,None,1,cnn
East Room,2022-3-29,East Room,None,None,2,cnn
Babyn Yar Holocaust,2022-3-01,Babyn Yar Holocaust,None,None,1,cnn
South Eastern Ukraine,2022-3-06,South Eastern Ukraine,None,None,1,cnn
North West,2022-3-06,North West,None,None,1,cnn
Kharkiv,2022-3-24,Kharkiv,None,None,1,cnn
Podilskyi District,2022-3-20,Podilskyi District,None,None,2,cnn
South America,2022-3-23,South America,None,None,1,cnn
South America’S,2022-3-23,South America’S,None,None,1,cnn
Balkans,2022-3-23,Balkans,None,None,1,cnn
South Ukraine,2022-3-29,South Ukraine,None,None,3,cnn
Dniepr River,2022-3-12,Dniepr River,None,None,1,cnn
Opposition Bloc,2022-3-13,Opposition Bloc,None,None,1,cnn
Russian Naval,2022-3-13,Russian Naval,None,None,1,cnn
Pripyat River,2022-3-13,Pripyat River,None,None,1,cnn
High North And,2022-3-13,High North And,None,None,1,cnn
North And Baltic Sea,2022-3-13,North And Baltic Sea,None,None,1,cnn
North America,2022-3-14,North America,None,None,1,cnn
Pacific Ocean,2022-3-14,Pacific Ocean,None,None,1,cnn
Irpin River,2022-3-21,Irpin River,None,None,3,cnn
Green Agenda,2022-3-22,Green Agenda,None,None,1,cnn
Embassy,2022-3-02,Embassy,None,None,2,cnn
Black Sea Navy,2022-3-25,Black Sea Navy,None,None,1,cnn
Bucharest,2022-3-15,Bucharest,None,None,2,cnn
