Country,Date,Label,Latitude,Longitude,Count,Type
Sudan,2022-3-03,Sudan,7.8699431,29.6667897,1,MentionType.PRIMARY
Sudan,2022-3-03,Sudan,7.8699431,29.6667897,1,MentionType.SECONDARY
Jersey,2022-3-03,Jersey,40.0757384,-74.4041622,1,MentionType.PRIMARY
Jersey,2022-3-03,Jersey,40.0757384,-74.4041622,1,MentionType.SECONDARY
Georgia,2022-3-03,Georgia,32.3293809,-83.1137366,1,MentionType.PRIMARY
Georgia,2022-3-03,Georgia,33.7489924,-84.3902644,2,MentionType.SECONDARY
Kenya,2022-3-03,Kenya,0.5090396,34.5731341,1,MentionType.SECONDARY
India,2022-3-03,India,10.5405145,76.2689734,1,MentionType.SECONDARY
Djibouti,2022-3-03,Djibouti,11.6993805,42.5846779,1,MentionType.SECONDARY
Hungary,2022-3-04,Hungary,47.1817585,19.5060937,1,MentionType.PRIMARY
Slovakia,2022-3-04,Slovakia,48.7411522,19.4528646,1,MentionType.PRIMARY
Romania,2022-3-04,Romania,45.9852129,24.6859225,1,MentionType.PRIMARY
China,2022-3-04,China,35.000074,104.999927,1,MentionType.PRIMARY
Azerbaijan,2022-3-04,Azerbaijan,40.3936294,47.7872508,1,MentionType.PRIMARY
Libya,2022-3-04,Libya,26.8234472,18.1236723,1,MentionType.PRIMARY
Burkina Faso,2022-3-04,Burkina Faso,12.2527495,0.8736106,1,MentionType.SECONDARY
Georgia,2022-3-04,Georgia,32.3293809,-83.1137366,1,MentionType.PRIMARY
Georgia,2022-3-04,Georgia,32.3293809,-83.1137366,1,MentionType.SECONDARY
Hong Kong,2022-3-05,Hong Kong,22.2793278,114.1628131,1,MentionType.PRIMARY
Hong Kong,2022-3-05,Hong Kong,22.2793278,114.1628131,1,MentionType.SECONDARY
United States,2022-3-05,United States,29.6330078,-97.98859404468138,1,MentionType.PRIMARY
Kenya,2022-3-05,Kenya,0.5090396,34.5731341,1,MentionType.SECONDARY
South Africa,2022-3-05,South Africa,-28.8166236,24.991639,1,MentionType.PRIMARY
South Africa,2022-3-05,South Africa,-25.7459277,28.1879101,2,MentionType.SECONDARY
Germany,2022-3-05,Germany,51.0834196,10.4234469,1,MentionType.PRIMARY
Russian Federation,2022-3-05,Russian Federation,52.5161051,13.3834149,1,MentionType.PRIMARY
Jordan,2022-3-05,Jordan,31.1667049,36.941628,1,MentionType.PRIMARY
Georgia,2022-3-05,Georgia,32.3293809,-83.1137366,1,MentionType.PRIMARY
Georgia,2022-3-05,Georgia,32.3293809,-83.1137366,2,MentionType.SECONDARY
Georgia,2022-3-02,Georgia,33.7489924,-84.3902644,1,MentionType.SECONDARY
Uganda,2022-3-02,Uganda,0.2999133,32.5939103,1,MentionType.SECONDARY
Cuba,2022-3-02,Cuba,23.0131338,-80.8328748,1,MentionType.PRIMARY
Cuba,2022-3-02,Cuba,23.0131338,-80.8328748,1,MentionType.SECONDARY
Nicaragua,2022-3-02,Nicaragua,12.6090157,-85.2936911,1,MentionType.PRIMARY
Nicaragua,2022-3-02,Nicaragua,12.6090157,-85.2936911,1,MentionType.SECONDARY
El Salvador,2022-3-02,El Salvador,-18.1011528,-59.634398,2,MentionType.PRIMARY
El Salvador,2022-3-02,El Salvador,-18.1011528,-59.634398,2,MentionType.SECONDARY
Mexico,2022-3-02,Mexico,23.6585116,-102.0077097,1,MentionType.PRIMARY
Brazil,2022-3-02,Brazil,-10.3333333,-53.2,1,MentionType.PRIMARY
Netherlands,2022-3-02,Netherlands,52.15517,5.38721,2,MentionType.PRIMARY
Russian Federation,2022-3-02,Russian Federation,52.5161051,13.3834149,1,MentionType.PRIMARY
Jersey,2022-3-02,Jersey,40.0757384,-74.4041622,1,MentionType.PRIMARY
Jersey,2022-3-02,Jersey,40.0757384,-74.4041622,1,MentionType.SECONDARY
Sweden,2022-3-02,Sweden,59.6749712,14.5208584,1,MentionType.PRIMARY
Belgium,2022-3-20,Belgium,50.6402809,4.6667145,1,MentionType.PRIMARY
Georgia,2022-3-20,Georgia,32.3293809,-83.1137366,1,MentionType.PRIMARY
Georgia,2022-3-20,Georgia,33.7489924,-84.3902644,2,MentionType.SECONDARY
Curaçao,2022-3-20,Curaçao,12.0759089,-68.8742225,1,MentionType.SECONDARY
Bulgaria,2022-3-20,Bulgaria,42.6073975,25.4856617,1,MentionType.PRIMARY
Ireland,2022-3-18,Ireland,52.66501575,-7.303525860771529,1,MentionType.SECONDARY
New Zealand,2022-3-18,New Zealand,-41.5000831,172.8344077,1,MentionType.PRIMARY
New Zealand,2022-3-18,New Zealand,-41.5000831,172.8344077,1,MentionType.SECONDARY
Germany,2022-3-18,Germany,51.0834196,10.4234469,1,MentionType.PRIMARY
France,2022-3-18,France,46.603354,1.8883335,1,MentionType.PRIMARY
Georgia,2022-3-27,Georgia,32.3293809,-83.1137366,1,MentionType.PRIMARY
Georgia,2022-3-27,Georgia,32.3293809,-83.1137366,1,MentionType.SECONDARY
Netherlands,2022-3-27,Netherlands,52.15517,5.38721,1,MentionType.PRIMARY
India,2022-3-27,India,33.0291565,75.7960617,1,MentionType.SECONDARY
Philippines,2022-3-27,Philippines,10.7774862,122.4606751,1,MentionType.SECONDARY
Israel,2022-3-27,Israel,31.5313113,34.8667654,1,MentionType.PRIMARY
Kenya,2022-3-11,Kenya,0.5090396,34.5731341,1,MentionType.SECONDARY
Spain,2022-3-11,Spain,39.3260685,-4.8379791,1,MentionType.PRIMARY
Japan,2022-3-11,Japan,36.5748441,139.2394179,1,MentionType.PRIMARY
Portugal,2022-3-11,Portugal,40.0332629,-7.8896263,1,MentionType.PRIMARY
Canada,2022-3-29,Canada,61.0666922,-107.991707,1,MentionType.PRIMARY
Canada,2022-3-29,Canada,61.0666922,-107.991707,1,MentionType.SECONDARY
Israel,2022-3-29,Israel,31.5313113,34.8667654,1,MentionType.PRIMARY
Slovakia,2022-3-29,Slovakia,48.7411522,19.4528646,1,MentionType.PRIMARY
Russian Federation,2022-3-29,Russian Federation,52.5161051,13.3834149,1,MentionType.PRIMARY
Armenia,2022-3-16,Armenia,40.7696272,44.6736646,1,MentionType.PRIMARY
Indonesia,2022-3-16,Indonesia,-6.29393065,106.62027325341249,1,MentionType.SECONDARY
Slovakia,2022-3-16,Slovakia,48.7411522,19.4528646,1,MentionType.PRIMARY
Netherlands,2022-3-16,Netherlands,52.15517,5.38721,1,MentionType.PRIMARY
Greece,2022-3-16,Greece,38.9953683,21.9877132,1,MentionType.PRIMARY
Russian Federation,2022-3-16,Russian Federation,52.5161051,13.3834149,2,MentionType.PRIMARY
Russian Federation,2022-3-28,Russian Federation,52.5161051,13.3834149,1,MentionType.PRIMARY
Azerbaijan,2022-3-28,Azerbaijan,40.3936294,47.7872508,1,MentionType.PRIMARY
Romania,2022-3-17,Romania,45.9852129,24.6859225,1,MentionType.PRIMARY
Georgia,2022-3-17,Georgia,32.3293809,-83.1137366,1,MentionType.PRIMARY
Georgia,2022-3-17,Georgia,32.3293809,-83.1137366,1,MentionType.SECONDARY
Iraq,2022-3-17,Iraq,33.0955793,44.1749775,1,MentionType.PRIMARY
Afghanistan,2022-3-17,Afghanistan,33.7680065,66.2385139,1,MentionType.PRIMARY
Israel,2022-3-17,Israel,31.5313113,34.8667654,1,MentionType.PRIMARY
Ethiopia,2022-3-17,Ethiopia,10.2116702,38.6521203,1,MentionType.PRIMARY
Yemen,2022-3-17,Yemen,16.3471243,47.8915271,1,MentionType.PRIMARY
India,2022-3-17,India,19.14528025,72.82580039999999,1,MentionType.SECONDARY
Argentina,2022-3-17,Argentina,-34.6445222,-58.7070402,1,MentionType.SECONDARY
Barbados,2022-3-17,Barbados,13.0980627,-59.4987777,1,MentionType.SECONDARY
Armenia,2022-3-10,Armenia,40.7696272,44.6736646,1,MentionType.PRIMARY
Mali,2022-3-10,Mali,16.3700359,-2.2900239,1,MentionType.PRIMARY
Mali,2022-3-10,Mali,16.3700359,-2.2900239,1,MentionType.SECONDARY
Cyprus,2022-3-10,Cyprus,34.9823018,33.1451285,1,MentionType.PRIMARY
Sudan,2022-3-10,Sudan,7.8699431,29.6667897,1,MentionType.SECONDARY
Sudan,2022-3-10,Sudan,14.5844444,29.4917691,2,MentionType.PRIMARY
South Africa,2022-3-10,South Africa,-33.6976868,19.0031293,1,MentionType.SECONDARY
Mexico,2022-3-10,Mexico,23.6585116,-102.0077097,1,MentionType.PRIMARY
Russian Federation,2022-3-10,Russian Federation,52.5161051,13.3834149,1,MentionType.PRIMARY
India,2022-3-10,India,22.3511148,78.6677428,1,MentionType.PRIMARY
India,2022-3-10,India,22.3511148,78.6677428,1,MentionType.SECONDARY
Japan,2022-3-19,Japan,36.5748441,139.2394179,1,MentionType.PRIMARY
India,2022-3-19,India,22.3511148,78.6677428,1,MentionType.PRIMARY
Georgia,2022-3-19,Georgia,33.7489924,-84.3902644,1,MentionType.SECONDARY
Belgium,2022-3-19,Belgium,50.6402809,4.6667145,1,MentionType.PRIMARY
Italy,2022-3-19,Italy,42.6384261,12.674297,1,MentionType.PRIMARY
Israel,2022-3-26,Israel,31.5313113,34.8667654,1,MentionType.PRIMARY
Haiti,2022-3-26,Haiti,19.1399952,-72.3570972,1,MentionType.PRIMARY
Finland,2022-3-26,Finland,63.2467777,25.9209164,1,MentionType.PRIMARY
Finland,2022-3-26,Finland,63.2467777,25.9209164,1,MentionType.SECONDARY
Ghana,2022-3-21,Ghana,8.0300284,-1.0800271,1,MentionType.PRIMARY
Ghana,2022-3-21,Ghana,8.0300284,-1.0800271,1,MentionType.SECONDARY
Niger,2022-3-21,Niger,9.6000359,7.9999721,1,MentionType.PRIMARY
Niger,2022-3-21,Niger,9.6000359,7.9999721,1,MentionType.SECONDARY
Kenya,2022-3-21,Kenya,1.4419683,38.4313975,1,MentionType.PRIMARY
Burkina Faso,2022-3-21,Burkina Faso,12.2527495,0.8736106,1,MentionType.SECONDARY
Belarus,2022-3-21,Belarus,53.4250605,27.6971358,1,MentionType.PRIMARY
Hong Kong,2022-3-07,Hong Kong,22.2793278,114.1628131,1,MentionType.PRIMARY
Hong Kong,2022-3-07,Hong Kong,22.2793278,114.1628131,1,MentionType.SECONDARY
Australia,2022-3-07,Australia,-24.7761086,134.755,1,MentionType.PRIMARY
Australia,2022-3-07,Australia,-24.7761086,134.755,1,MentionType.SECONDARY
Canada,2022-3-07,Canada,61.0666922,-107.991707,1,MentionType.PRIMARY
Canada,2022-3-07,Canada,61.0666922,-107.991707,1,MentionType.SECONDARY
Burkina Faso,2022-3-07,Burkina Faso,12.2527495,0.8736106,1,MentionType.SECONDARY
Saudi Arabia,2022-3-07,Saudi Arabia,25.6242618,42.3528328,1,MentionType.PRIMARY
Mexico,2022-3-07,Mexico,23.6585116,-102.0077097,1,MentionType.PRIMARY
Greece,2022-3-07,Greece,38.9953683,21.9877132,1,MentionType.PRIMARY
Georgia,2022-3-07,Georgia,32.3293809,-83.1137366,1,MentionType.PRIMARY
Georgia,2022-3-07,Georgia,32.3293809,-83.1137366,3,MentionType.SECONDARY
New Zealand,2022-3-07,New Zealand,-41.5000831,172.8344077,1,MentionType.PRIMARY
New Zealand,2022-3-07,New Zealand,-41.5000831,172.8344077,1,MentionType.SECONDARY
Niger,2022-3-07,Niger,9.0643305,7.4892974,1,MentionType.SECONDARY
Germany,2022-3-09,Germany,51.0834196,10.4234469,1,MentionType.PRIMARY
India,2022-3-09,India,21.0733556,74.631641,2,MentionType.SECONDARY
Germany,2022-3-31,Germany,51.0834196,10.4234469,1,MentionType.PRIMARY
Belarus,2022-3-31,Belarus,53.4250605,27.6971358,1,MentionType.PRIMARY
Singapore,2022-3-31,Singapore,1.3104654,103.9235132,1,MentionType.SECONDARY
Greece,2022-3-31,Greece,38.9953683,21.9877132,1,MentionType.PRIMARY
Portugal,2022-3-31,Portugal,40.85025125,-8.283197430858417,1,MentionType.SECONDARY
India,2022-3-31,India,22.3511148,78.6677428,1,MentionType.PRIMARY
India,2022-3-31,India,28.6517178,77.2219388,2,MentionType.SECONDARY
Afghanistan,2022-3-31,Afghanistan,33.7680065,66.2385139,1,MentionType.PRIMARY
Kenya,2022-3-31,Kenya,0.5090396,34.5731341,1,MentionType.SECONDARY
Romania,2022-3-31,Romania,45.9852129,24.6859225,1,MentionType.PRIMARY
Japan,2022-3-30,Japan,37.7914545,-122.42786628219972,1,MentionType.SECONDARY
Kenya,2022-3-30,Kenya,0.5090396,34.5731341,1,MentionType.SECONDARY
Kazakhstan,2022-3-30,Kazakhstan,47.2286086,65.2093197,1,MentionType.PRIMARY
Netherlands,2022-3-30,Netherlands,52.15517,5.38721,1,MentionType.PRIMARY
Luxembourg,2022-3-30,Luxembourg,49.8158683,6.1296751,1,MentionType.PRIMARY
Estonia,2022-3-30,Estonia,58.7523778,25.3319078,1,MentionType.PRIMARY
Japan,2022-3-08,Japan,36.5748441,139.2394179,1,MentionType.PRIMARY
Mexico,2022-3-08,Mexico,34.5708167,-105.993007,1,MentionType.PRIMARY
Mexico,2022-3-08,Mexico,34.5708167,-105.993007,1,MentionType.SECONDARY
Romania,2022-3-08,Romania,45.9852129,24.6859225,1,MentionType.PRIMARY
South Africa,2022-3-08,South Africa,-33.9797952,18.5816802,1,MentionType.SECONDARY
Australia,2022-3-08,Australia,-24.7761086,134.755,1,MentionType.PRIMARY
Australia,2022-3-08,Australia,-24.7761086,134.755,1,MentionType.SECONDARY
India,2022-3-08,India,40.3270127,-86.1746933,1,MentionType.SECONDARY
France,2022-3-08,France,46.603354,1.8883335,1,MentionType.PRIMARY
Israel,2022-3-08,Israel,31.5313113,34.8667654,1,MentionType.PRIMARY
Mexico,2022-3-01,Mexico,23.6585116,-102.0077097,1,MentionType.PRIMARY
Japan,2022-3-01,Japan,36.5748441,139.2394179,1,MentionType.PRIMARY
Latvia,2022-3-01,Latvia,56.8406494,24.7537645,1,MentionType.PRIMARY
Lithuania,2022-3-01,Lithuania,55.3500003,23.7499997,1,MentionType.PRIMARY
Estonia,2022-3-01,Estonia,58.7523778,25.3319078,1,MentionType.PRIMARY
Burkina Faso,2022-3-01,Burkina Faso,12.2527495,0.8736106,1,MentionType.SECONDARY
Brazil,2022-3-01,Brazil,-10.3333333,-53.2,1,MentionType.PRIMARY
Australia,2022-3-01,Australia,-24.7761086,134.755,1,MentionType.PRIMARY
Australia,2022-3-01,Australia,-24.7761086,134.755,1,MentionType.SECONDARY
Indonesia,2022-3-01,Indonesia,-1.0621297,131.3473735,1,MentionType.SECONDARY
Afghanistan,2022-3-01,Afghanistan,33.7680065,66.2385139,1,MentionType.PRIMARY
India,2022-3-06,India,22.3511148,78.6677428,1,MentionType.PRIMARY
India,2022-3-06,India,22.6217076,88.46878098152267,2,MentionType.SECONDARY
Hong Kong,2022-3-06,Hong Kong,22.2793278,114.1628131,1,MentionType.PRIMARY
Hong Kong,2022-3-06,Hong Kong,22.2793278,114.1628131,1,MentionType.SECONDARY
Serbia,2022-3-06,Serbia,44.1534121,20.55144,1,MentionType.PRIMARY
Kazakhstan,2022-3-06,Kazakhstan,47.2286086,65.2093197,1,MentionType.PRIMARY
Chile,2022-3-06,Chile,-31.7613365,-71.3187697,1,MentionType.PRIMARY
Chile,2022-3-06,Chile,-31.7613365,-71.3187697,1,MentionType.SECONDARY
Israel,2022-3-06,Israel,31.5313113,34.8667654,1,MentionType.PRIMARY
South Africa,2022-3-06,South Africa,-33.9379766,25.3940915,2,MentionType.SECONDARY
Cayman Islands,2022-3-06,Cayman Islands,19.3077421,-81.3820113,1,MentionType.SECONDARY
Curaçao,2022-3-24,Curaçao,12.0759089,-68.8742225,1,MentionType.SECONDARY
Djibouti,2022-3-24,Djibouti,11.6993805,42.5846779,1,MentionType.SECONDARY
Norway,2022-3-24,Norway,60.5000209,9.0999715,1,MentionType.PRIMARY
Romania,2022-3-24,Romania,45.9852129,24.6859225,1,MentionType.PRIMARY
Slovakia,2022-3-24,Slovakia,48.7411522,19.4528646,1,MentionType.PRIMARY
Nepal,2022-3-24,Nepal,26.4682942,87.2863365,1,MentionType.SECONDARY
Albania,2022-3-24,Albania,41.000028,19.9999619,1,MentionType.PRIMARY
Bulgaria,2022-3-24,Bulgaria,42.6073975,25.4856617,1,MentionType.PRIMARY
Latvia,2022-3-24,Latvia,56.8406494,24.7537645,1,MentionType.PRIMARY
Netherlands,2022-3-24,Netherlands,52.15517,5.38721,1,MentionType.PRIMARY
Portugal,2022-3-24,Portugal,40.0332629,-7.8896263,1,MentionType.PRIMARY
Spain,2022-3-24,Spain,39.3260685,-4.8379791,1,MentionType.PRIMARY
United Kingdom,2022-3-24,United Kingdom,54.7023545,-3.2765753,2,MentionType.PRIMARY
Australia,2022-3-23,Australia,-24.7761086,134.755,1,MentionType.PRIMARY
Australia,2022-3-23,Australia,-24.7761086,134.755,1,MentionType.SECONDARY
Niger,2022-3-23,Niger,11.403508,8.008224,1,MentionType.SECONDARY
Ecuador,2022-3-23,Ecuador,-1.3397668,-79.3666965,1,MentionType.PRIMARY
Ecuador,2022-3-23,Ecuador,-1.3397668,-79.3666965,2,MentionType.SECONDARY
Colombia,2022-3-23,Colombia,4.099917,-72.9088133,1,MentionType.PRIMARY
Colombia,2022-3-23,Colombia,4.099917,-72.9088133,1,MentionType.SECONDARY
Brazil,2022-3-23,Brazil,-10.3333333,-53.2,1,MentionType.PRIMARY
Ethiopia,2022-3-23,Ethiopia,10.2116702,38.6521203,1,MentionType.PRIMARY
Philippines,2022-3-15,Philippines,10.7222373,122.5835039,1,MentionType.SECONDARY
Mexico,2022-3-15,Mexico,23.6585116,-102.0077097,1,MentionType.PRIMARY
Ireland,2022-3-15,Ireland,52.865196,-7.9794599,1,MentionType.PRIMARY
Ireland,2022-3-15,Ireland,52.865196,-7.9794599,1,MentionType.SECONDARY
Portugal,2022-3-12,Portugal,40.85025125,-8.283197430858417,1,MentionType.SECONDARY
Canada,2022-3-12,Canada,45.6560326,-60.875068,1,MentionType.SECONDARY
Australia,2022-3-13,Australia,-24.7761086,134.755,1,MentionType.PRIMARY
Australia,2022-3-13,Australia,-24.7761086,134.755,1,MentionType.SECONDARY
Canada,2022-3-13,Canada,61.0666922,-107.991707,1,MentionType.PRIMARY
Canada,2022-3-13,Canada,61.0666922,-107.991707,1,MentionType.SECONDARY
New Zealand,2022-3-13,New Zealand,-41.5000831,172.8344077,1,MentionType.PRIMARY
New Zealand,2022-3-13,New Zealand,-41.5000831,172.8344077,1,MentionType.SECONDARY
Latvia,2022-3-13,Latvia,56.8406494,24.7537645,1,MentionType.PRIMARY
Georgia,2022-3-13,Georgia,33.7489924,-84.3902644,1,MentionType.SECONDARY
Ireland,2022-3-13,Ireland,52.865196,-7.9794599,1,MentionType.PRIMARY
Ireland,2022-3-13,Ireland,53.3393385,-6.2540004,2,MentionType.SECONDARY
Denmark,2022-3-13,Denmark,55.670249,10.3333283,1,MentionType.PRIMARY
Finland,2022-3-13,Finland,63.2467777,25.9209164,1,MentionType.PRIMARY
Finland,2022-3-13,Finland,63.2467777,25.9209164,1,MentionType.SECONDARY
Estonia,2022-3-13,Estonia,58.7523778,25.3319078,1,MentionType.PRIMARY
Iceland,2022-3-13,Iceland,64.9841821,-18.1059013,1,MentionType.PRIMARY
Lithuania,2022-3-13,Lithuania,55.3500003,23.7499997,1,MentionType.PRIMARY
Netherlands,2022-3-13,Netherlands,52.15517,5.38721,1,MentionType.PRIMARY
Sweden,2022-3-13,Sweden,59.6749712,14.5208584,1,MentionType.PRIMARY
Norway,2022-3-13,Norway,60.5000209,9.0999715,1,MentionType.PRIMARY
South Africa,2022-3-13,South Africa,-33.6976868,19.0031293,1,MentionType.SECONDARY
Romania,2022-3-13,Romania,45.9852129,24.6859225,1,MentionType.PRIMARY
Malaysia,2022-3-13,Malaysia,3.1508447,101.71044920027114,1,MentionType.SECONDARY
Congo,2022-3-13,Congo,-4.02295,19.05943,1,MentionType.SECONDARY
Afghanistan,2022-3-13,Afghanistan,33.7680065,66.2385139,1,MentionType.PRIMARY
Haiti,2022-3-13,Haiti,19.1399952,-72.3570972,1,MentionType.PRIMARY
Egypt,2022-3-13,Egypt,26.2540493,29.2675469,1,MentionType.PRIMARY
Libya,2022-3-13,Libya,26.8234472,18.1236723,1,MentionType.PRIMARY
Mexico,2022-3-13,Mexico,23.6585116,-102.0077097,1,MentionType.PRIMARY
Nepal,2022-3-13,Nepal,27.317388549999997,86.62579795887953,1,MentionType.SECONDARY
Belgium,2022-3-14,Belgium,50.6402809,4.6667145,1,MentionType.PRIMARY
Romania,2022-3-14,Romania,45.9852129,24.6859225,1,MentionType.PRIMARY
Lithuania,2022-3-14,Lithuania,55.3500003,23.7499997,1,MentionType.PRIMARY
Ireland,2022-3-14,Ireland,52.865196,-7.9794599,1,MentionType.PRIMARY
Denmark,2022-3-14,Denmark,55.670249,10.3333283,1,MentionType.PRIMARY
Austria,2022-3-14,Austria,47.59397,14.12456,1,MentionType.PRIMARY
Croatia,2022-3-14,Croatia,45.5643442,17.0118954,1,MentionType.PRIMARY
Portugal,2022-3-14,Portugal,40.0332629,-7.8896263,1,MentionType.PRIMARY
Portugal,2022-3-14,Portugal,40.0332629,-7.8896263,1,MentionType.SECONDARY
Sweden,2022-3-14,Sweden,59.6749712,14.5208584,1,MentionType.PRIMARY
Netherlands,2022-3-14,Netherlands,52.15517,5.38721,1,MentionType.PRIMARY
South Africa,2022-3-14,South Africa,-33.6976868,19.0031293,1,MentionType.SECONDARY
Saudi Arabia,2022-3-22,Saudi Arabia,25.6242618,42.3528328,1,MentionType.PRIMARY
Ireland,2022-3-22,Ireland,52.865196,-7.9794599,1,MentionType.PRIMARY
Ireland,2022-3-22,Ireland,52.865196,-7.9794599,1,MentionType.SECONDARY
Belgium,2022-3-22,Belgium,50.6402809,4.6667145,1,MentionType.PRIMARY
Curaçao,2022-3-22,Curaçao,12.0759089,-68.8742225,1,MentionType.SECONDARY
Uganda,2022-3-22,Uganda,0.3140933,32.5860878,1,MentionType.SECONDARY
Hong Kong,2022-3-25,Hong Kong,22.234726350000003,114.17081234396048,1,MentionType.SECONDARY
Uganda,2022-3-25,Uganda,0.2999133,32.5939103,1,MentionType.SECONDARY
France,2022-3-25,France,46.603354,1.8883335,1,MentionType.PRIMARY
Finland,2022-3-25,Finland,63.2467777,25.9209164,1,MentionType.PRIMARY
Finland,2022-3-25,Finland,60.1674881,24.9427473,2,MentionType.SECONDARY
Switzerland,2022-3-25,Switzerland,46.7985624,8.2319736,1,MentionType.PRIMARY
Russian Federation,2022-3-25,Russian Federation,52.5161051,13.3834149,1,MentionType.PRIMARY
China,2022-3-25,China,35.000074,104.999927,1,MentionType.PRIMARY
Germany,2022-3-25,Germany,51.0834196,10.4234469,2,MentionType.PRIMARY
Israel,2022-3-25,Israel,31.5313113,34.8667654,1,MentionType.PRIMARY
France,2022-3-25,France,43.3641518,-1.7616499,3,MentionType.SECONDARY
Canada,2022-3-03,Canada,61.0666922,-107.991707,1,MentionType.PRIMARY
Canada,2022-3-03,Canada,61.0666922,-107.991707,2,MentionType.SECONDARY
Finland,2022-3-03,Finland,63.2467777,25.9209164,1,MentionType.PRIMARY
Finland,2022-3-03,Finland,63.2467777,25.9209164,1,MentionType.SECONDARY
Russian Federation,2022-3-03,Russian Federation,52.5161051,13.3834149,1,MentionType.PRIMARY
Romania,2022-3-03,Romania,45.9852129,24.6859225,2,MentionType.PRIMARY
Poland,2022-3-03,Poland,52.215933,19.134422,2,MentionType.PRIMARY
Serbia,2022-3-03,Serbia,44.1534121,20.55144,1,MentionType.PRIMARY
France,2022-3-03,France,46.603354,1.8883335,1,MentionType.PRIMARY
Austria,2022-3-03,Austria,47.59397,14.12456,1,MentionType.PRIMARY
Germany,2022-3-03,Germany,51.0834196,10.4234469,2,MentionType.PRIMARY
Italy,2022-3-03,Italy,42.6384261,12.674297,1,MentionType.PRIMARY
Japan,2022-3-03,Japan,36.5748441,139.2394179,2,MentionType.PRIMARY
China,2022-3-03,China,35.000074,104.999927,1,MentionType.PRIMARY
France,2022-3-03,France,43.6776223,4.6309653,4,MentionType.SECONDARY
Hungary,2022-3-03,Hungary,47.1817585,19.5060937,1,MentionType.PRIMARY
Australia,2022-3-03,Australia,-37.8142176,144.9631608,1,MentionType.SECONDARY
United Kingdom,2022-3-03,United Kingdom,52.2016313,0.10904499527822156,2,MentionType.PRIMARY
United Kingdom,2022-3-03,United Kingdom,52.2016313,0.10904499527822156,5,MentionType.SECONDARY
Sweden,2022-3-03,Sweden,59.6749712,14.5208584,1,MentionType.PRIMARY
