	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	Labs	Lab Size	nPublications	Other Journals	University	Career Duration	Degree Area	Latitude	Longitude	UndergradStudentCount	ranking	students staff ratio	perc intl students	near_city	crime_index	safety_index
0	Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer	Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network	PLOS One, January 2013 | Volume 8 | Issue 1 | e53510	10.1371/journal.pone.0053510	2013	01January	1.0		1.0		duplicated blot, shifted microscopy	1	10/09/2015		1.0		1	Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany	8	   	   	Ludwig-Maximilians-University	3	Institute of Pharmacology, Toxicology and Pharmacy							Memphis, TN, United States	73.85	26.15
1	Jessica M. Esparza, Eileen Oï¿½Toole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher	Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii	PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940	10.1371/journal.pone.0053940	2013	01January		1.0			duplicated colony strip	1	01/15/2016		1.0		1	Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America	80	       	       	Washington University School of Medicine	11	Department of Genetics							Tehran, Iran	54.86	45.14
2	Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London	Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome	PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285	10.1371/journal.pone.0057285	2013	02February			1.0		reuse of one lane in different blot experiment	1	8/4/2015		1.0		1	Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America	6	      	      	Stony Brook University	9	Department of Oral Biology and Pathology, School of Dental Medicine	40.91476	-73.12046	17767.0	336.0	10.6	23%	Brooklyn, NY, United States	40.35	59.65
3	Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin 	miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells	PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170	10.1371/journal.pone.0062170	2013	04April	1.0			1	Duplicated / mirrored bands in blot	1	4/10/2017	1.0			1	Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America	23	    	    	Pfizer Worldwide Research and Development	14	Oncology Research									
4	Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong	HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904	10.1371/journal.pone.0064904	2013	05May		1.0			multiple duplicated microscopy images	1	9/19/2014		1.0		1	Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America	12	       	       	University of Nebraska Medical Center	14	Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience	41.256312	-95.973966	897.0	563.0	2.6	8%	Omaha, NE, United States	45.84	54.16
5	Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang	Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581	10.1371/journal.pone.0063581	2013	05May			1.0		part of blot panel reused to represent different protein	1			1.0		1	Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China	7	         	         	Peking University School of Oncology	12	Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education									
6	Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona	LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508	10.1371/journal.pone.0070508	2013	07July	1.0			1	duplicated lanes within same blot, or in different blots, duplicated microscopy panel	1	10/16/2014		1.0		1	Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia	3	   	   	University of Adelaide	4	Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science				118.0	30.7	29%	Adelaide, Australia	29.29	70.71
7	Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena	miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296	10.1371/journal.pone.0068296	2013	07July			1.0		overlapping microscopy images,but rotated/stretched	1	5/8/2015		1.0		1	Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy	13	       	       	University of Bari	4	Department of Emergency and Organ Transplantation							Dhaka, Bangladesh	64.07	35.93
8	Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena	miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296	10.1371/journal.pone.0068296	2013	07July			1.0		overlapping microscopy images,but rotated/stretched	1	5/8/2015		1.0		1	Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy	13	       	       	University of Bari	4	Department of Emergency and Organ Transplantation							Dhaka, Bangladesh	64.07	35.93
9	Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang	Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485	10.1371/journal.pone.0069485	2013	07July				1	multiple overlapping microscopy images, groups of cells visible in multiple images	1	11/25/2014		1.0		1	Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China	5	          	          	Bengbu Medical College	3	Department of Biochemistry and Molecular Biology							Anchorage, AK, United States	61.20	38.80
10	Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon 	PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583	10.1371/journal.pone.0069583	2013	07July				1	possible duplicated lanes within same blot, patch in other blot	1	7/20/2015		1.0		1	Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel	9	     	     	Hadassah University Hospital	8	Department of Neurology, The Agnes Ginges Center for Human Neurogenetics							Charlotte, NC, United States	45.30	54.70
11	Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu	Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592	10.1371/journal.pone.0069592	2013	07July			1.0		two sets of duplicated facs panels but different percentages gated points	1	01/26/2015		1.0		1	School of Pharmacy, Second Military Medical University, Shanghai, China	66	        	        	Second Military Medical University	5	School of Pharmacy							Shanghai, China	34.32	65.68
12	Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma	Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134	10.1371/journal.pone.0069134	2013	07July			1.0		overlapping microscopy images	1	7/23/2014		1.0		1	Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China	29	       	       	Medical School of Southeast University	6	Department of Cardiology, Zhongda Hospital							Nicosia, Cyprus	32.66	67.34
13	Akrem Abdulsid, Alexander Fletcher, Fiona Lyall	Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor	PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127	10.1371/journal.pone.0071127	2013	08August				1	reuse of 2 bands multiple times to create blot panel	1		1.0			1	University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom	3	   	   	University of Glasgow School of Medicine	5	University of Glasgow School of Medicine									
